File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\ShaderManager.h,33,21,13,0,7,0,5,16,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Shadow.h,60,32,21,0,15,0,13,68,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\SkyBox.h,42,26,17,0,6,0,10,55,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\stdafx.h,64,40,1,0,18,0,6,13,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Terrain.h,30,20,14,0,7,0,3,7,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\TestScene.h,25,16,12,0,9,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Texture.h,34,23,17,0,8,0,3,8,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Token.h,68,58,9,0,7,0,3,24,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\WaveSimultation.h,33,23,17,0,7,0,3,10,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Window.h,32,20,15,0,8,0,4,9,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\ai_assert.h,15,9,0,0,4,0,2,4,2,4
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\anim.h,485,229,123,16,83,11,173,1310,44,258
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\camera.h,224,51,30,0,30,1,143,967,43,251
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\cexport.h,243,49,25,0,31,5,163,1442,43,254
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\cfileio.h,136,36,25,0,17,1,83,480,43,254
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\cimport.h,494,109,42,0,46,4,339,2262,43,255
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\color4.h,104,36,20,0,16,3,52,306,43,255
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\config.h,739,137,2,0,86,4,516,3597,56,315
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\defs.h,260,92,0,0,29,5,139,740,44,267
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\importerdesc.h,137,24,14,0,18,0,95,716,43,249
