Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\psaux,14,652,286,76,0,188,9,178,737,118,590
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\psaux\PaxHeaders.20920,7,21,14,0,0,7,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\pshinter,12,785,376,188,0,221,18,188,947,111,567
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\pshinter\PaxHeaders.20920,6,18,12,0,0,6,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\psnames,8,4332,4143,62,14,96,6,93,489,71,356
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\psnames\PaxHeaders.20920,4,12,8,0,0,4,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\raster,10,363,134,46,8,115,7,114,549,93,448
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\raster\PaxHeaders.20920,5,15,10,0,0,5,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\sfnt,26,935,437,68,0,265,19,233,1209,216,1117
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\sfnt\PaxHeaders.20920,13,39,26,0,0,13,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\smooth,8,239,82,12,0,73,7,84,412,70,340
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\smooth\PaxHeaders.20920,4,12,8,0,0,4,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\truetype,18,1466,619,267,0,371,125,476,2606,150,747
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\truetype\PaxHeaders.20920,9,29,20,0,0,9,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\type1,16,762,336,70,2,200,14,226,1052,133,683
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\type1\PaxHeaders.20920,8,24,16,0,0,8,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\type42,10,373,159,59,0,121,9,93,471,81,407
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\type42\PaxHeaders.20920,5,15,10,0,0,5,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\winfonts,4,221,106,68,0,66,3,49,231,39,193
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\winfonts\PaxHeaders.20920,2,6,4,0,0,2,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage,37,12599,5303,3407,616,1865,444,5431,31652,707,4437
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Dist,2,2308,1662,810,0,310,390,336,4270,48,308
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Dist\x32,1,1154,831,405,0,155,195,168,2135,24,154
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Dist\x64,1,1154,831,405,0,155,195,168,2135,24,154
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Examples,14,2056,952,619,162,377,20,727,4350,293,1670
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Examples\Generic,10,1560,749,510,131,304,14,507,2795,238,1357
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Examples\OpenGL,2,196,111,62,17,33,6,52,335,14,38
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Examples\OpenGL\TextureManager,2,196,111,62,17,33,6,52,335,14,38
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Examples\Plugin,2,300,92,47,14,40,0,168,1220,41,275
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeImage\Wrapper,21,8235,2689,1978,454,1178,34,4368,23032,366,2459
